Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total population,Sex ratio (males per 100 females),Median age (years),Unemployment Rate,Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,Asian,Hispanic or Latino (of any race),geoid,typo,INTPTLAT_x,INTPTLONG,label_bin,label_three,label_four,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT_y,INTPTLONG,relation_max_fee,relation_min_fee
712,813,43.5,35032,47147,1760,4.944467354,3.7,333300,2236,1060,1142,5563,3180,2614,5563,101.12,32.1,0.09,0.05,0.03,0.03,0.23,0.05,0.01,0.02,0.08,0.19,0.21,0.11,0.02,0.1,0.85,0.5,0.76,0.08,0.31,0.51,0.09,0.05,0.1,0.14,0.59,0.1,0.44,0.38,0.14,0.14,0.22,0.02,0.13,0.17,0.2,0.24,0.45,36005007200,LI - Not Losing Low-Income Households,40.83,-73.86,0,0,0,NY,213050,0,0.082,0,40.8310478,-73.8606925,1270,815
433,783,48,19925,27657,1415,5.5,3.8,582861.201,2637.827457,835.5364007,964,3994,1661,1324,4046,111.17,29,0.17,0.06,0.02,0.02746184285,0.07,0.06899059871,0.03797297297,0.01,0.07,0.34,0.31,0.1,0.03,0.21,0.78,0.25,0.99,0.04,0.37,0.77,0.05,0.05078651685,0.05,0.1,0.623960199,0.07,0.67,0.59,0.24,0.22,0.05,0.05,0.08,0.08,0.42,0.1562713675,0.58,36005007300,LI - At Risk of Gentrification,40.81,-73.91,1,1,1,NY,140161,0,0.054,0,40.8146752,-73.909389,1025,626
218,566,50.8,39375,53188,1445,2.1,4.3,362600,2230,753,1275,3701,1102,685,3701,76.57,36.3,0.06,0.05724859622,0.02,0.01,0.05,0.11,0.06,0.03,0.17,0.37,0.06,0.06,0.06,0.09,0.92,0.56,0.62,0.04,0.19,0.35,0.14,0.02,0.06,0.01,0.35,0.15,0.54,0.45,0.12,0.12,0.21,0.09,0.18,0.38,0.32,0.1562713675,0.66,36005007400,LI - Not Losing Low-Income Households,40.82,-73.85,0,0,0,NY,187162,0,0.072,0,40.8194734,-73.8528608,1471,408
584,1228,41.5,26401,36432,2387,5.5,4.1,308000,1393,469,793,5977,1302,858,6043,63.81,28.4,0.1,0.05,0.03,0.01,0.12,0.06,0.01,0.09,0.06,0.32,0.19,0.04,0.04,0.18,0.91,0.39,0.88,0.01,0.42,0.7,0.06,0.05078651685,0.06,0.06,0.66,0.09,0.52,0.58,0.15,0.14,0.15,0.08,0.1,0.08,0.47,0.1562713675,0.56,36005007500,LI - Ongoing Gentrification,40.82,-73.91,1,2,2,NY,227618,0,0.088,0,40.8187768,-73.9086238,1074,880
345,653,42,34778,42820,1700,4.944467354,4.2,518800,2805,907,1226,5013,2488,2064,5013,79.68,32.5,0.12,0.11,0.05,0.02746184285,0.14,0.1,0.01,0.05,0.04,0.24,0.19,0.06,0.02,0.16,0.81,0.4,0.8,0.03,0.37,0.57,0.11,0.02,0.06,0.05,0.77,0.1,0.48,0.47,0.22,0.14,0.08,0.02,0.13,0.24,0.28,0.08,0.65,36005007600,LI - Ongoing Displacement of Low-Income Households,40.83,-73.87,0,0,0,NY,217217,0,0.084,0,40.833375,-73.8676557,1288,480
167,349,42,30912,43634,638,4.944467354,4.3,353300,1813,835.5364007,1221,1984,932,790,2040,75.26,31.2,0.08,0.11,0.02,0.04,0.09,0.1,0.03797297297,0.08,0.05,0.3,0.16,0.06,0.01,0.13,0.9,0.4,0.76,0.06,0.34,0.59,0.04,0.02,0.04,0.06,0.88,0.07,0.55,0.48,0.17,0.18,0.13,0.05,0.08,0.15,0.26,0.1562713675,0.72,36005007700,LI - Not Losing Low-Income Households,40.82,-73.9,0,0,0,NY,112827,0,0.044,0,40.8197339,-73.9044231,1027,675
712,960,42.4,40083,48754,2196,2.9,4.2,411900,2734,736,1308,6512,3057,2618,6535,86.39,30,0.11,0.06,0.07,0.05,0.16,0.08,0.04,0.05,0.09,0.17,0.18,0.04,0.02,0.18,0.8,0.38,0.81,0.05,0.36,0.47,0.12,0.01,0.1,0.06,0.55,0.12,0.62,0.42,0.22,0.12,0.14,0.02,0.14,0.28,0.19,0.09,0.72,36005007800,LI - Not Losing Low-Income Households,40.83,-73.85,0,0,0,NY,311879,0,0.12,0,40.8291304,-73.8526457,1497,408
790,1204,42,25651,34928,2433,2.3,4,582861.201,2637.827457,835.5364007,703,6574,2825,2056,6693,87.74,28,0.14,0.01,0.03,0.04,0.12,0.05,0.01,0.1,0.1,0.26,0.26,0.02,0.04268056968,0.28,0.87,0.24,0.98,0.01,0.25,0.82,0.02,0.05078651685,0.09,0.01,1,0.1,0.69,0.51,0.2,0.21,0.07,0.06,0.11,0.09,0.29,0.1562713675,0.74,36005007900,LI - Ongoing Gentrification,40.82,-73.9,1,2,2,NY,197930,0,0.076,0,40.815792,-73.9048714,1221,675
841,1244,42.6,22704,39897,2198,2,4,405600,2258,800,889,6887,3118,2597,6887,97.22,30.8,0.13,0.05,0.04,0.04,0.12,0.08,0.03797297297,0.13,0.09,0.21,0.16,0.05,0.03,0.26,0.87,0.27,0.9,0.03,0.24,0.7,0.03,0.05078651685,0.11,0.06,0.86,0.07,0.59,0.5,0.24,0.21,0.13,0.04,0.1,0.09,0.2,0.04,0.81,36005008300,LI - Ongoing Gentrification,40.81,-73.9,1,2,2,NY,213932,0,0.083,0,40.8136778,-73.90184,1221,675
162,436,44.6,66958,78747,757,6.2,5.3,442500,2347,974,1471,2528,881,621,2528,92.54,32.9,0.08,0.03,0.03,0.01,0.1,0.08,0.04,0.08,0.09,0.36,0.08,0.05,0.06,0.07,0.92,0.7,0.36,0.01,0.24,0.24,0.23,0.07,0.02,0.01,0.79,0.11,0.53,0.36,0.1,0.08,0.22,0.05,0.13,0.31,0.38,0.06,0.63,36005008400,MHI - Advanced Gentrification,40.82,-73.85,1,2,3,NY,156789,0,0.061,0,40.8156088,-73.8477354,1390,408
280,1075,38.3,28403,35818,2017,4.2,3.9,251100,1263,835.5364007,1003,5647,2917,2280,6406,109,32.3,0.16,0.05,0.04,0.04,0.16,0.09,0.03797297297,0.03,0.04,0.25,0.22,0.06,0.02,0.23,0.78,0.27,0.92,0.03,0.3,0.69,0.06,0.02,0.05,0.02,0.87,0.1,0.62,0.58,0.19,0.22,0.13,0.04,0.11,0.07,0.23,0.01,0.79,36005008500,LI - Ongoing Gentrification,40.82,-73.9,1,2,2,NY,181658,0,0.07,0,40.8162762,-73.8990831,1221,675
162,691,49.7,21747,37869,1465,4.944467354,4.4,391000,2305,450,408,3849,1407,965,3849,75.75,34.8,0.13,0.09,0.03,0.03,0.16,0.1,0.03797297297,0.05,0.05,0.22,0.14,0.1,0.02,0.24,0.88,0.42,0.88,0.01,0.22,0.7,0.06,0.01,0.05,0.01,0.67,0.15,0.69,0.59,0.17,0.23,0.1,0.04,0.15,0.39,0.3,0.03,0.7,36005008600,LI - Ongoing Displacement of Low-Income Households,40.82,-73.85,0,0,0,NY,187658,0,0.072,0,40.8198788,-73.8498059,1471,911
435,1085,47.9,29152,37565,2054,1.5,4.2,335700,2792,835.5364007,1027,6278,3225,2571,6420,90.34,32,0.06,0.03,0.04,0.03,0.13,0.05,0.03,0.09,0.1,0.27,0.15,0.06,0.02,0.21,0.81,0.33,0.98,0.03,0.37,0.74,0.05,0.05078651685,0.09,0.05,0.74,0.1,0.64,0.56,0.23,0.16,0.07,0.03,0.13,0.14,0.24,0.1562713675,0.77,36005008700,LI - Ongoing Gentrification,40.82,-73.9,1,2,2,NY,213574,0,0.082,0,40.819672,-73.8972847,1221,675
297,685,46.3,26711,34230,1272,1.3,3.7,56600,2637.827457,719,929,3321,1304,981,3323,82.18,27.6,0.06,0.07,0.01,0.02,0.05,0.1,0.03,0.05,0.15,0.31,0.19,0.02,0.02,0.28,0.83,0.28,0.94,0.05,0.25,0.81,0.03,0.05078651685,0.09,0.02,0.28,0.11,0.72,0.56,0.23,0.18,0.1,0.06,0.14,0.16,0.29,0.01,0.79,36005008900,LI - Ongoing Displacement of Low-Income Households,40.82,-73.89,0,0,0,NY,110291,0,0.043,0,40.8185668,-73.8939061,1013,387
144,733,47.8,28631,53379,1219,1.3,4.5,409400,1911,721,438,3636,1047,670,3636,88.59,29.2,0.15,0.07,0.03,0.04,0.17,0.04,0.01,0.04,0.09,0.39,0.07,0.02,0.05,0.27,0.91,0.51,0.74,0.02,0.21,0.64,0.11,0.02,0.01,0.02,0.72,0.12,0.64,0.58,0.13,0.18,0.13,0.04,0.15,0.42,0.32,0.04,0.69,36005009000,LI - Ongoing Displacement of Low-Income Households,40.81,-73.84,0,0,0,NY,1024677,1162033,0.396,0.449,40.8089385,-73.8407005,1681,408
581,750,52.4,38708,60563,1892,1,3.9,465400,2332,920,1276,5975,2747,2089,5975,87.01,34.5,0.18,0.06,0.03,0.01,0.08,0.1,0.01,0.09,0.1,0.27,0.16,0.07,0.05,0.15,0.9,0.47,0.78,0.04,0.29,0.61,0.11,0.01,0.11,0.06,0.72,0.09,0.52,0.4,0.13,0.1,0.18,0.02,0.11,0.18,0.18,0.14,0.61,36005009200,LI - Not Losing Low-Income Households,40.83,-73.85,0,0,0,NY,310475,0,0.12,0,40.8323395,-73.8521545,1497,1116
464,1146,45.6,30811,37456,1991,0.8,3.9,372000,1495,835.5364007,1157,5787,3403,2743,6601,140.47,31,0.07,0.08,0.06,0.01,0.1,0.07,0.03,0.08,0.16,0.27,0.06,0.07,0.01,0.19,0.8,0.24,0.92,0.05,0.4,0.58,0.07,0.01,0.13,0.07,0.66,0.06,0.62,0.49,0.2,0.18,0.1,0.04,0.08,0.12,0.31,0.1562713675,0.7,36005009300,LI - Ongoing Gentrification,40.81,-73.89,1,2,2,NY,2307627,1595761,0.891,0.616,40.8056822,-73.8856083,1391.830034,703
202,370,39.8,47250,56346,812,3.8,4.2,400600,2908,739,1526,2394,1150,827,2597,92.8,36.7,0.19,0.03,0.01,0.02,0.08,0.12,0.03,0.08,0.1,0.31,0.15,0.04,0.04,0.14,0.9,0.48,0.67,0.04,0.36,0.47,0.16,0.05,0.07,0.04,0.77,0.19,0.49,0.43,0.16,0.13,0.2,0.03,0.23,0.18,0.23,0.19,0.54,36005009600,LI - Not Losing Low-Income Households,40.83,-73.84,0,0,0,NY,703455,15353,0.272,0.006,40.8347812,-73.8437163,1594,1116
369,623,46.7,54007,70410,1810,3.4,4.7,413100,2159,805,1386,5281,2120,1333,5306,80.35,39.9,0.14,0.04,0.03900655572,0.02,0.13,0.09,0.01,0.09,0.11,0.32,0.08,0.06,0.06,0.05,0.93,0.58,0.58,0.02,0.26,0.33,0.16,0.07,0.02,0.03,0.82,0.16,0.49,0.45,0.11,0.07,0.27,0.03,0.19,0.41,0.29,0.03,0.71,36005009800,LI - Ongoing Displacement of Low-Income Households,40.83,-73.85,0,0,0,NY,517450,0,0.2,0,40.8254505,-73.8495052,1471,408
470,885,44,22321,38579,1546,1.4,4,395000,3293,835.5364007,998,4336,2139,1638,4656,90.59,28.5,0.15,0.1,0.06,0.04,0.12,0.09,0.01,0.11,0.06,0.28,0.1,0.04,0.04268056968,0.22,0.86,0.27,0.93,0.02,0.36,0.71,0.02,0.02,0.12,0.07,0.82,0.08,0.57,0.53,0.24,0.18,0.13,0.03,0.1,0.13,0.36,0.01,0.69,36005011502,LI - Ongoing Gentrification,40.82,-73.89,1,2,2,NY,336295,10037,0.13,0.004,40.8200657,-73.8865202,1013,387
129,333,37,26500,40708,626,4.944467354,3.4,10000,2637.827457,715,1094,1536,424,307,1536,83.29,26.9,0.13,0.01,0.12,0.01,0.12,0.05,0.03797297297,0.07,0.1,0.3,0.12,0.07,0.03,0.26,0.85,0.36,0.97,0.01,0.34,0.71,0.05,0.05078651685,0.09,0.01,0.623960199,0.07,0.63,0.6,0.16,0.16,0.12,0.1,0.08,0.14,0.35,0.1562713675,0.69,36005011700,LI - Ongoing Gentrification,40.81,-73.87,1,2,2,NY,1357971,431176,0.524,0.166,40.8072371,-73.8749566,1391.830034,610
312,333,36.9,85048,91626,1599,4.944467354,5.2,408500,2462,730,1752,3894,714,568,5267,149.27,35.6,0.07,0.06,0.02,0.02746184285,0.06,0.05,0.04,0.09,0.14,0.36,0.11,0.03,0.06,0.03,0.95,0.84,0.27,0.05,0.22,0.1,0.38,0.06,0.03,0.04194654271,0.59,0.15,0.63,0.38,0.04,0.07,0.26,0.11,0.18,0.8,0.02,0.05,0.23,36005011800,MHI - Stable Exclusion,40.81,-73.8,0,0,0,NY,989675,2876320,0.382,1.111,40.8097065,-73.8001663,1692,1273
527,882,44.8,23224,29983,2071,4.944467354,3.8,582861.201,2250,835.5364007,941,5165,2200,1773,5179,89.08,30.7,0.1,0.04,0.02,0.02746184285,0.11,0.07,0.01,0.13,0.05,0.27,0.2,0.09,0.04268056968,0.25,0.82,0.24,0.95,0.04,0.3,0.82,0.03,0.05078651685,0.07,0.03,0.73,0.11,0.65,0.65,0.29,0.14,0.07,0.07,0.13,0.11,0.36,0.01,0.67,36005011900,LI - At Risk of Gentrification,40.82,-73.89,1,1,1,NY,167875,0,0.065,0,40.8232829,-73.8895803,1013,387
264,463,45.6,29294,34162,1029,3.4,4.2,407500,2158,785,1013,2747,1354,1085,2875,92.44,27.5,0.1,0.1,0.04,0.02,0.1,0.1,0.03797297297,0.08,0.06,0.28,0.15,0.03,0.05,0.16,0.81,0.25,0.82,0.01,0.3,0.63,0.08,0.02,0.12,0.03,0.68,0.05,0.62,0.5,0.21,0.15,0.11,0.04,0.07,0.14,0.3,0.01,0.69,36005012101,LI - Ongoing Gentrification,40.83,-73.89,1,2,2,NY,115615,0,0.045,0,40.8282758,-73.8888941,1089,495
102,325,45.4,18692,24069,534,4.944467354,4.2,582861.201,2637.827457,835.5364007,495,1682,657,307,1682,68.37,24.3,0.16,0.08,0.03,0.02746184285,0.13,0.06,0.03797297297,0.06,0.06,0.31,0.12,0.16,0.04268056968,0.21,0.91,0.14,1,0.04078389831,0.17,0.76,0.1370536153,0.05078651685,0.09,0.04194654271,0.623960199,0.09,0.75,0.71,0.25,0.16,0.1,0.03,0.12,0.12,0.19,0.1562713675,0.87,36005012102,LI - At Risk of Gentrification,40.83,-73.89,1,1,1,NY,49498,0,0.019,0,40.8260067,-73.887962,1089,387
382,615,44.2,24474,45225,1651,2.2,3.9,432700,2484,1037,663,3799,1348,1076,3893,83.72,30,0.05,0.06,0.08,0.02,0.11,0.06,0.03,0.02,0.07,0.34,0.13,0.08,0.04268056968,0.31,0.9,0.38,0.91,0.04,0.3,0.65,0.03,0.01,0.03,0.01,0.75,0.09,0.59,0.58,0.16,0.16,0.14,0.07,0.11,0.08,0.33,0.01,0.68,36005012300,LI - Ongoing Gentrification,40.83,-73.89,1,2,2,NY,303328,0,0.117,0,40.830115,-73.8860075,1097,495
524,629,37.2,28359,43573,1485,1.1,4,431600,2272,895,1089,4303,1890,1441,4311,106.96,31,0.11,0.06,0.03,0.02,0.09,0.07,0.03797297297,0.05,0.1,0.32,0.05,0.15,0.06,0.18,0.83,0.38,0.84,0.02,0.37,0.55,0.11,0.05078651685,0.08,0.03,0.73,0.09,0.61,0.47,0.23,0.13,0.13,0.04,0.13,0.12,0.3,0.02,0.67,36005012500,LI - Not Losing Low-Income Households,40.83,-73.89,0,0,0,NY,168791,0,0.065,0,40.8286462,-73.8935164,1097,495
122,377,45,18777,29990,829,4.944467354,3.9,339100,2130,459,733,1871,702,491,1954,71.25,34.7,0.08,0.03,0.07,0.01,0.1,0.06,0.02,0.02,0.05,0.35,0.19,0.04,0.07,0.31,0.92,0.27,0.85,0.04078389831,0.25,0.84,0.03,0.05078651685,0.03,0.05,0.45,0.12,0.62,0.54,0.18,0.14,0.12,0.03,0.16,0.2,0.23,0.04,0.77,36005012701,LI - At Risk of Gentrification,40.83,-73.89,1,1,1,NY,107703,0,0.042,0,40.8256393,-73.8923237,1089,387
420,833,43.9,20243,26345,1529,4.944467354,3.7,543300,2637.827457,835.5364007,942,4015,1692,1157,4240,85.4,28.6,0.13,0.03,0.07,0.02746184285,0.16,0.03,0.01,0.04,0.1,0.25,0.2,0.1,0.02,0.28,0.93,0.22,0.96,0.05,0.31,0.81,0.05,0.05078651685,0.09,0.02,0.09,0.12,0.59,0.6,0.2,0.24,0.09,0.11,0.15,0.11,0.42,0.04,0.58,36005012901,LI - Ongoing Gentrification,40.82,-73.9,1,2,2,NY,156381,0,0.06,0,40.8226294,-73.898734,1221,675
82,153,43.6,76488,93994,483,4.944467354,5,437900,2641,911,1429,1447,388,221,1447,84.33,39.8,0.09,0.1,0.03,0.02,0.1,0.08,0.05,0.02,0.06,0.39,0.03,0.05,0.07,0.04,0.95,0.74,0.44,0.04,0.32,0.11,0.29,0.12,0.06558448188,0.04194654271,0.65,0.16,0.34,0.43,0.1,0.12,0.27,0.04,0.19,0.65,0.08,0.1562713675,0.53,36005013000,MHI - Stable Exclusion,40.82,-73.81,0,0,0,NY,116144,0,0.045,0,40.8193055,-73.8147485,1752,567
642,1062,44.3,29114,39118,1821,4.944467354,3.9,397100,2391,835.5364007,901,4937,2045,1517,5008,100.08,27.6,0.06,0.05,0.02,0.01,0.15,0.12,0.03797297297,0.09,0.07,0.35,0.07,0.03,0.03,0.23,0.9,0.34,0.88,0.04,0.31,0.62,0.11,0.05078651685,0.13,0.03,0.94,0.05,0.56,0.45,0.13,0.19,0.13,0.03,0.07,0.07,0.35,0.1562713675,0.7,36005013100,LI - Ongoing Gentrification,40.83,-73.9,1,2,2,NY,232209,0,0.09,0,40.825954,-73.8978818,1221,675
421,895,42,100258,114928,2547,4.944467354,5,451900,2815,814,1309,7152,1988,830,7160,100.45,41.1,0.05,0.03,0.03,0.02,0.08,0.02,0.01,0.1,0.11,0.37,0.13,0.04,0.05,0.02,0.96,0.77,0.34,0.01,0.27,0.1,0.43,0.06,0.03,0.04194654271,0.77,0.15,0.34,0.31,0.08,0.07,0.34,0.05,0.22,0.52,0.16,0.04,0.49,36005013200,MHI - Ongoing Exclusion,40.81,-73.82,0,0,0,NY,604268,925089,0.233,0.357,40.8092732,-73.8185512,1728,567
511,694,40.4,21731,35648,2379,4.944467354,4.1,582861.201,2554,665,675,6095,2391,1494,6095,80.33,32.6,0.14,0.02,0.02,0.02746184285,0.07,0.07,0.02,0.06,0.1,0.41,0.08,0.06,0.08,0.18,0.92,0.39,0.94,0.04,0.19,0.82,0.04,0.05078651685,0.03,0.04,0.58,0.13,0.5,0.56,0.22,0.19,0.12,0.1,0.18,0.09,0.39,0.1562713675,0.6,36005013300,LI - At Risk of Gentrification,40.82,-73.9,1,1,1,NY,161159,0,0.062,0,40.8228226,-73.903485,1221,702
269,703,41.1,25947,43555,1462,3.9,4,313700,1898,835.5364007,702,3855,1764,1415,3855,94.7,32.8,0.1,0.06,0.04,0.02,0.05,0.15,0.03797297297,0.12,0.07,0.27,0.12,0.04,0.05,0.23,0.84,0.27,0.91,0.04078389831,0.27,0.7,0.06,0.01,0.1,0.08,0.86,0.1,0.51,0.53,0.13,0.2,0.12,0.04,0.14,0.11,0.38,0.1562713675,0.63,36005013500,LI - Ongoing Gentrification,40.83,-73.9,1,2,2,NY,167404,0,0.065,0,40.8271333,-73.9020964,1221,675
204,272,32.7,70598,83618,1337,10.8,4.6,279700,1648,490,1273,2789,501,414,2794,96.21,42.4,0.1,0.1,0.05,0.01,0.1,0.13,0.03797297297,0.08,0.05,0.23,0.13,0.03,0.09,0.07,0.9,0.64,0.33,0.02,0.08,0.16,0.28,0.09,0.04,0.04194654271,0.6,0.19,0.34,0.32,0.07,0.11,0.21,0.02,0.22,0.71,0.04,0.05,0.28,36005013800,MHI - Stable Exclusion,40.82,-73.79,0,0,0,NY,764724,3460640,0.295,1.336,40.8217346,-73.7910026,1752,567
596,1055,43,30408,52932,2193,3.3,3.7,251500,1912,835.5364007,1074,5668,2235,1925,5781,81.17,31.4,0.12,0.01,0.03,0.03,0.16,0.05,0.03,0.07,0.11,0.34,0.08,0.06,0.03,0.16,0.86,0.4,0.95,0.01,0.57,0.73,0.05,0.05078651685,0.08,0.04,0.81,0.07,0.5,0.53,0.12,0.14,0.18,0.05,0.08,0.14,0.37,0.01,0.62,36005014100,LI - Ongoing Gentrification,40.82,-73.91,1,2,2,NY,177166,0,0.068,0,40.8237653,-73.912295,1011,541
82,168,39.9,16793,23331,483,1.8,1.9,322500,2637.827457,835.5364007,541,1085,542,467,1085,101.67,33.9,0.1,0.04,0.12,0.02746184285,0.06,0.01,0.03797297297,0.06,0.08,0.48,0.12,0.03,0.04268056968,0.29,0.84,0.3,0.94,0.05,0.48,0.81,0.02,0.05078651685,0.08,0.11,0.65,0.08,0.46,0.49,0.22,0.2,0.11,0.07,0.12,0.13,0.51,0.04,0.38,36005014300,LI - At Risk of Gentrification,40.83,-73.91,1,1,1,NY,129711,0,0.05,0,40.8277474,-73.9121298,1178,436
611,1240,61.4,24034,44017,2269,1,4.1,472000,2897,895,567,6186,1702,1120,6198,63.97,27.8,0.18,0.06,0.02,0.01,0.13,0.06,0.03797297297,0.08,0.07,0.29,0.18,0.03,0.08,0.23,0.92,0.39,0.86,0.01,0.27,0.68,0.09,0.02,0.05,0.01,0.62,0.12,0.62,0.56,0.11,0.13,0.12,0.05,0.15,0.23,0.43,0.02,0.62,36005014400,LI - At Risk of Gentrification,40.82,-73.82,1,1,1,NY,396820,0,0.153,0,40.8212966,-73.823337,1608,1233
817,1919,53.7,24301,32066,2348,1.8,3.6,582861.201,2637.827457,728,902,7830,2203,1591,8112,89.89,26.5,0.17,0.02,0.04,0.02746184285,0.09,0.1,0.05,0.05,0.07,0.28,0.18,0.1,0.03,0.24,0.94,0.24,0.97,0.01,0.35,0.76,0.1370536153,0.05078651685,0.13,0.07,0.33,0.06,0.71,0.6,0.19,0.2,0.1,0.05,0.07,0.06,0.4,0.1562713675,0.61,36005014500,LI - At Risk of Gentrification,40.83,-73.91,1,1,1,NY,181445,0,0.07,0,40.831511,-73.9070315,1178,436
803,1465,43.2,16170,26749,2039,0.7,4.2,582861.201,2637.827457,835.5364007,436,6792,1887,1516,7152,74.48,24.4,0.25,0.05,0.05,0.01,0.1,0.06,0.01,0.08793535938,0.11,0.41,0.06,0.04,0.09,0.26,0.94,0.29,1,0.06,0.14,0.76,0.03,0.05078651685,0.12,0.07,1,0.09,0.78,0.6,0.17,0.2,0.11,0.1,0.1,0.07,0.57,0.1562713675,0.49,36005014701,LI - At Risk of Gentrification,40.83,-73.91,1,1,1,NY,138921,0,0.054,0,40.8342262,-73.9053292,1178,748
624,1027,48.5,18276,27904,1679,4.944467354,4.1,582861.201,2637.827457,835.5364007,500,5326,1637,1266,5326,74.62,26,0.1,0.02,0.06,0.03,0.11,0.08,0.03797297297,0.06,0.1,0.34,0.17,0.05,0.04268056968,0.27,0.9,0.27,1,0.02,0.18,0.75,0.03,0.02,0.06,0.09,0.623960199,0.08,0.7,0.58,0.18,0.21,0.09,0.06,0.09,0.09,0.42,0.1562713675,0.59,36005014702,LI - Ongoing Displacement of Low-Income Households,40.84,-73.9,0,0,0,NY,116306,0,0.045,0,40.836535,-73.9043915,1063,702
556,657,43.1,25057,36398,1656,4.9,3.7,582861.201,2637.827457,835.5364007,981,4276,2013,1589,4508,103.89,30.1,0.14,0.05,0.01,0.03,0.14,0.11,0.01,0.06,0.09,0.28,0.11,0.06,0.05,0.18,0.88,0.38,0.91,0.05,0.33,0.69,0.03,0.01,0.13,0.06,0.38,0.06,0.57,0.46,0.18,0.18,0.13,0.06,0.08,0.13,0.39,0.1562713675,0.6,36005014900,LI - Ongoing Gentrification,40.83,-73.9,1,2,2,NY,155523,0,0.06,0,40.83261,-73.9014822,1039,500
544,965,48.5,32782,46013,1958,4.8,4.1,415500,2557,835.5364007,1035,5130,2359,1994,5172,84.91,32.4,0.08,0.03,0.01,0.03,0.12,0.06,0.01,0.1,0.11,0.37,0.1,0.05,0.03,0.19,0.87,0.41,0.87,0.01,0.34,0.62,0.09,0.02,0.04,0.07,0.91,0.1,0.45,0.44,0.17,0.14,0.14,0.05,0.13,0.09,0.43,0.1562713675,0.57,36005015100,LI - Ongoing Gentrification,40.83,-73.9,1,2,2,NY,209002,0,0.081,0,40.8310833,-73.8984802,981,500
207,411,37.3,70441,84138,999,3.1,4.8,440400,2811,917,1399,2805,857,626,2805,106.71,39.4,0.12,0.04,0.03,0.02,0.07,0.09,0.03,0.03,0.06,0.42,0.09,0.03,0.09,0.08,0.91,0.63,0.35,0.05,0.23,0.2,0.25,0.07,0.02,0.03,0.71,0.16,0.43,0.27,0.13,0.07,0.24,0.04,0.2,0.4,0.12,0.03,0.64,36005015200,MHI - Stable Exclusion,40.83,-73.82,0,0,0,NY,284310,0,0.11,0,40.8263809,-73.8249096,1608,567
505,986,42.2,18655,41354,1658,2.4,3.8,374000,2194,460,1097,4880,1814,1573,4880,80.41,30,0.16,0.02,0.03,0.03,0.13,0.07,0.04,0.02,0.11,0.35,0.09,0.08,0.02,0.3,0.86,0.35,0.84,0.04,0.35,0.58,0.17,0.01,0.09,0.04,0.8,0.07,0.4,0.53,0.17,0.11,0.19,0.03,0.12,0.08,0.53,0.01,0.53,36005015300,LI - Not Losing Low-Income Households,40.83,-73.89,0,0,0,NY,236838,0,0.091,0,40.8334809,-73.894143,1089,455
284,454,45.2,17438,28424,1126,1.3,3.4,481800,2750,557,764,2966,1641,1374,2966,71.05,34.4,0.23,0.03,0.01,0.02,0.23,0.04,0.02,0.02,0.06,0.32,0.12,0.13,0.04268056968,0.27,0.88,0.51,0.94,0.02,0.27,0.56,0.24,0.05078651685,0.13,0.01,0.47,0.15,0.43,0.4,0.27,0.14,0.16,0.03,0.18,0.07,0.21,0.01,0.8,36005015500,LI - Ongoing Gentrification,40.84,-73.89,1,2,2,NY,114986,0,0.044,0,40.8355263,-73.8899863,1097,455
