,Label (Grouping)_x,Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_numb,Label (Grouping)_y,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),tract,LOGRECNO,GEOID,geoid,typo,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             ,label 
29,"Census Tract 53, Bronx County, New York!!Estimate",394,868,51.4,"15,141","23,484","1,712",-,8.9,4,-,-,-,946,"3,866",932,783,(X),"3,866",64.86140725,27.5,"Census Tract 53, Bronx County, New York","Census Tract 53, Bronx County, New York!!Percent",21.50%,0.00%,4.50%,3.90%,1.40%,9.00%,1.60%,1.30%,3.20%,5.50%,42.30%,9.80%,12.20%,5.30%,36.50%,91.60%,20.30%,0.00%,0.00%,100.00%,1.30%,29.20%,88.40%,1.10%,0.00%,6.50%,2.30%,-,5.70%,75.90%,64.40%,13.10%,24.10%,12.30%,6.90%,7.40%,11.70%,51.40%,0.90%,0.20%,47.50%,53,3509,14000US36005005300,36005005300,LI - At Risk of Gentrification,NY,68744,3852,0.027,0.001,40.8514336,-73.9226455,1
30,"Census Tract 54, Bronx County, New York!!Estimate",447,"1,129",40.3,"29,857","44,579","1,967",11.6,0.9,4.4,"424,800","3,000",589,"1,204","6,282","3,537","2,839",(X),"6,292",97.73727216,32,"Census Tract 54, Bronx County, New York","Census Tract 54, Bronx County, New York!!Percent",9.80%,0.00%,12.70%,2.60%,0.70%,13.10%,12.90%,0.40%,5.80%,2.70%,22.30%,17.00%,8.90%,0.80%,12.20%,77.50%,31.20%,0.00%,0.90%,83.50%,5.60%,33.30%,69.90%,11.60%,1.00%,5.50%,10.50%,65.70%,6.20%,51.90%,47.60%,26.90%,22.10%,7.30%,3.40%,8.90%,18.20%,25.50%,0.50%,2.00%,75.30%,54,3510,14000US36005005400,36005005400,LI - Ongoing Displacement of Low-Income Households,NY,196516,0,0.076,0,40.8298985,-73.8797154,0
31,"Census Tract 56, Bronx County, New York!!Estimate",301,332,41.2,"18,918","34,407","1,022",6.5,4,3.7,"424,000","2,182",-,"1,056","2,614","1,347",973,(X),"2,614",73.68770764,39.3,"Census Tract 56, Bronx County, New York","Census Tract 56, Bronx County, New York!!Percent",17.70%,0.00%,9.00%,1.50%,3.80%,16.40%,8.20%,0.90%,7.70%,13.00%,25.60%,4.30%,7.80%,1.80%,27.30%,91.00%,42.70%,0.00%,0.00%,85.80%,0.00%,34.80%,58.90%,14.00%,0.60%,12.00%,2.30%,46.50%,21.50%,43.30%,40.20%,23.00%,18.50%,5.60%,4.50%,23.20%,15.40%,27.70%,0.00%,2.00%,64.30%,56,3511,14000US36005005600,36005005600,LI - Ongoing Displacement of Low-Income Households,NY,136188,0,0.053,0,40.8326118,-73.8790757,0
32,"Census Tract 59.02, Bronx County, New York!!Estimate",114,432,39.2,"29,908","49,663","1,125",11,0,3.7,"206,800","1,771",-,"1,256","2,746","1,397","1,263",(X),"2,746",87.69651401,38.3,"Census Tract 59.02, Bronx County, New York","Census Tract 59.02, Bronx County, New York!!Percent",11.80%,0.00%,3.60%,6.10%,0.00%,11.80%,2.10%,0.00%,6.20%,13.10%,25.10%,12.70%,10.20%,9.10%,19.30%,86.70%,39.90%,0.00%,0.00%,80.40%,2.20%,27.80%,65.40%,4.70%,2.90%,4.40%,10.10%,37.00%,10.60%,55.40%,53.20%,16.60%,9.00%,26.20%,8.90%,16.40%,16.50%,25.50%,0.00%,1.20%,73.90%,59.02,3512,14000US36005005902,36005005902,LI - At Risk of Gentrification,NY,69637,0,0.027,0,40.8241299,-73.9234195,1
33,"Census Tract 60, Bronx County, New York!!Estimate",69,208,39.8,"39,783","48,273",402,0,4.7,3.6,"370,800",-,636,"1,118","1,269",666,555,(X),"1,269",86.34361233,31,"Census Tract 60, Bronx County, New York","Census Tract 60, Bronx County, New York!!Percent",11.90%,0.00%,2.70%,3.40%,2.50%,10.70%,3.80%,2.10%,6.10%,7.20%,42.70%,9.00%,8.00%,1.90%,12.90%,90.40%,47.90%,3.20%,0.00%,95.00%,7.40%,28.80%,42.90%,26.80%,1.80%,11.80%,9.10%,11.80%,10.20%,59.40%,46.00%,15.40%,19.50%,23.00%,4.60%,11.70%,12.70%,19.50%,0.00%,2.40%,76.10%,60,3513,14000US36005006000,36005006000,LI - Ongoing Displacement of Low-Income Households,NY,315748,0,0.122,0,40.8377073,-73.8779705,0
34,"Census Tract 61, Bronx County, New York!!Estimate",138,231,36.6,"42,713","48,072","2,349",5.9,9.2,3.8,"23,100",-,-,"1,011","3,878",705,586,(X),"3,878",75.79329102,50.9,"Census Tract 61, Bronx County, New York","Census Tract 61, Bronx County, New York!!Percent",15.40%,0.00%,0.00%,0.00%,1.10%,4.10%,13.90%,1.80%,5.70%,9.80%,30.80%,15.80%,2.60%,14.40%,9.40%,91.00%,69.50%,0.00%,0.00%,44.00%,0.00%,9.60%,67.60%,2.00%,0.70%,0.70%,1.50%,17.80%,31.00%,60.50%,39.80%,6.40%,7.50%,32.20%,14.30%,39.80%,5.60%,77.30%,0.00%,0.50%,20.60%,61,3514,14000US36005006100,36005006100,LI - Ongoing Displacement of Low-Income Households,NY,242362,0,0.094,0,40.8222516,-73.9226669,0
35,"Census Tract 62, Bronx County, New York!!Estimate",480,"1,474",43.2,"24,835","33,594","2,531",0,3.3,4,-,-,-,703,"7,381","3,050","2,162",(X),"7,386",100.4341927,29.3,"Census Tract 62, Bronx County, New York","Census Tract 62, Bronx County, New York!!Percent",13.60%,0.00%,11.70%,3.50%,2.50%,8.70%,3.10%,2.70%,11.00%,11.50%,23.10%,10.40%,11.80%,0.00%,23.90%,86.70%,35.10%,0.00%,0.00%,96.80%,0.50%,24.50%,74.10%,4.70%,0.00%,5.80%,5.70%,0.00%,9.40%,51.40%,51.30%,29.60%,27.10%,7.10%,3.50%,12.70%,12.10%,38.80%,1.10%,2.10%,68.10%,62,3515,14000US36005006200,36005006200,LI - Ongoing Displacement of Low-Income Households,NY,192942,0,0.074,0,40.8332756,-73.8755275,0
36,"Census Tract 63, Bronx County, New York!!Estimate",300,584,42.8,"31,926","42,131","2,012",13.5,4.2,3.5,"222,800","1,082",525,"1,162","4,238","2,135","1,794",(X),"4,291",112.7416956,35.7,"Census Tract 63, Bronx County, New York","Census Tract 63, Bronx County, New York!!Percent",11.30%,0.00%,3.70%,6.00%,1.80%,10.60%,12.60%,2.00%,8.10%,10.40%,23.50%,9.10%,5.50%,6.60%,17.10%,85.40%,38.70%,0.00%,0.40%,92.30%,3.30%,23.10%,74.40%,2.80%,0.40%,2.40%,7.60%,44.70%,9.00%,47.40%,46.60%,16.50%,10.80%,24.70%,7.70%,12.40%,20.30%,28.40%,1.40%,4.10%,66.60%,63,3516,14000US36005006300,36005006300,LI - Ongoing Displacement of Low-Income Households,NY,1046237,9963,0.404,0.004,40.8242061,-73.9287302,0
37,"Census Tract 64, Bronx County, New York!!Estimate",254,652,50.3,"27,917","35,262","1,442",0,1.6,3.9,"541,300","4,000+",900,"1,203","3,266","1,370","1,065",(X),"3,266",106.4475348,38,"Census Tract 64, Bronx County, New York","Census Tract 64, Bronx County, New York!!Percent",10.40%,0.00%,19.40%,2.80%,3.00%,9.80%,9.30%,5.80%,6.80%,6.30%,27.80%,5.90%,2.10%,1.00%,24.40%,84.60%,39.10%,0.00%,0.00%,85.40%,4.40%,38.20%,56.80%,6.50%,2.10%,9.30%,0.00%,60.40%,15.80%,34.20%,46.70%,6.90%,19.50%,13.40%,6.00%,17.60%,22.30%,35.50%,0.90%,5.60%,52.60%,64,3517,14000US36005006400,36005006400,LI - Not Losing Low-Income Households,NY,168249,0,0.065,0,40.8330289,-73.8722067,0
38,"Census Tract 65, Bronx County, New York!!Estimate",476,902,38.6,"22,365","31,130","1,996",0,2,3.8,-,-,-,984,"5,513","2,082","1,704",(X),"5,609",104.7080292,30,"Census Tract 65, Bronx County, New York","Census Tract 65, Bronx County, New York!!Percent",10.90%,0.00%,5.70%,7.80%,2.70%,13.60%,2.20%,1.10%,1.40%,4.70%,29.00%,25.30%,4.50%,2.10%,24.50%,83.50%,23.50%,0.00%,0.00%,98.30%,5.20%,27.20%,84.10%,4.50%,0.00%,6.90%,4.30%,21.90%,6.80%,60.20%,56.20%,12.50%,15.60%,10.70%,2.40%,9.50%,9.20%,32.30%,0.00%,1.50%,66.50%,65,3518,14000US36005006500,36005006500,LI - At Risk of Gentrification,NY,261808,0,0.101,0,40.8173984,-73.9216592,1
39,"Census Tract 67, Bronx County, New York!!Estimate",781,"1,474",45.4,"20,945","51,894","2,416",0,1.3,4.1,"349,200",-,590,696,"7,588","3,043","2,528",(X),"7,597",82.44476465,27.2,"Census Tract 67, Bronx County, New York","Census Tract 67, Bronx County, New York!!Percent",16.30%,0.00%,4.50%,1.50%,0.00%,13.10%,12.30%,0.00%,6.90%,1.90%,23.30%,20.60%,13.10%,2.90%,27.70%,81.60%,18.50%,0.00%,0.00%,95.00%,4.40%,26.00%,84.60%,0.60%,0.00%,13.40%,2.70%,33.00%,7.90%,60.70%,52.80%,32.70%,22.60%,6.30%,4.00%,11.00%,4.60%,32.00%,1.10%,0.00%,65.00%,67,3519,14000US36005006700,36005006700,LI - At Risk of Gentrification,NY,212430,0,0.082,0,40.8195023,-73.9181767,1
40,"Census Tract 68, Bronx County, New York!!Estimate",337,559,44,"47,863","54,102","1,074",0,0,4.4,"404,400","2,950","1,101","1,228","3,358","1,699","1,549",(X),"3,358",143.8634713,31.8,"Census Tract 68, Bronx County, New York","Census Tract 68, Bronx County, New York!!Percent",13.00%,0.00%,10.50%,0.70%,0.80%,12.50%,9.10%,0.00%,3.20%,8.80%,33.30%,16.50%,3.50%,1.20%,11.60%,80.50%,50.10%,0.00%,0.00%,74.60%,2.20%,33.10%,46.50%,11.20%,0.00%,11.60%,2.60%,63.90%,11.50%,47.30%,41.30%,14.90%,8.60%,11.30%,2.80%,13.30%,8.00%,41.80%,0.70%,8.80%,47.20%,68,3520,14000US36005006800,36005006800,LI - Ongoing Displacement of Low-Income Households,NY,154374,0,0.06,0,40.8289669,-73.870482,0
41,"Census Tract 69, Bronx County, New York!!Estimate",932,"1,855",37.7,"26,513","44,204","2,741",12.5,1.9,4.1,"574,100","4,000+",-,873,"8,560","3,278","2,688",(X),"8,672",88.64476833,27.5,"Census Tract 69, Bronx County, New York","Census Tract 69, Bronx County, New York!!Percent",12.50%,0.00%,3.70%,3.20%,0.70%,11.70%,9.80%,0.90%,3.60%,5.50%,31.10%,9.40%,8.50%,11.80%,18.50%,89.30%,29.10%,0.00%,2.00%,93.60%,2.80%,25.10%,68.70%,4.20%,0.00%,7.40%,1.90%,88.70%,9.40%,57.10%,53.80%,18.90%,15.40%,19.70%,4.80%,10.30%,10.20%,40.70%,0.20%,1.70%,56.20%,69,3521,14000US36005006900,36005006900,LI - Ongoing Gentrification,NY,187977,0,0.073,0,40.8218666,-73.9157567,1
42,"Census Tract 70, Bronx County, New York!!Estimate",461,821,46.7,"33,412","49,123","1,455",4.4,1.6,4.5,"421,500","2,379","1,091","1,288","4,828","2,529","1,969",(X),"4,889",86.81696599,32.3,"Census Tract 70, Bronx County, New York","Census Tract 70, Bronx County, New York!!Percent",13.30%,0.00%,9.90%,5.80%,0.00%,15.80%,7.10%,0.10%,7.20%,10.60%,24.20%,12.90%,4.90%,1.50%,9.90%,86.50%,39.00%,0.00%,0.00%,79.40%,2.20%,34.50%,49.90%,17.70%,2.40%,9.70%,7.50%,69.60%,11.20%,50.10%,48.30%,15.30%,25.70%,10.70%,2.30%,14.10%,22.60%,23.40%,0.70%,7.20%,63.10%,70,3522,14000US36005007000,36005007000,LI - Not Losing Low-Income Households,NY,204891,0,0.079,0,40.8298152,-73.8656233,0
43,"Census Tract 71, Bronx County, New York!!Estimate",174,399,46.5,"37,744","50,114",999,3.7,4.7,4.1,"223,400","1,228",629,"1,011","2,483",815,604,(X),"2,544",73.29700272,31.4,"Census Tract 71, Bronx County, New York","Census Tract 71, Bronx County, New York!!Percent",13.80%,0.00%,3.70%,4.50%,2.60%,8.30%,4.60%,1.40%,16.10%,6.50%,34.40%,8.50%,4.10%,5.30%,13.40%,91.70%,46.50%,0.00%,31.30%,61.80%,1.90%,46.50%,56.90%,8.90%,2.30%,6.60%,0.00%,90.90%,9.10%,54.10%,48.70%,11.80%,12.60%,24.40%,7.80%,15.10%,12.50%,37.20%,0.30%,1.60%,63.80%,71,3523,14000US36005007100,36005007100,LI - Ongoing Gentrification,NY,264262,0,0.102,0,40.8182214,-73.9128301,1
44,"Census Tract 72, Bronx County, New York!!Estimate",712,813,43.5,"35,032","47,147","1,760",0,0,3.7,"333,300","2,236","1,060","1,142","5,563","3,180","2,614",(X),"5,563",101.120752,32.1,"Census Tract 72, Bronx County, New York","Census Tract 72, Bronx County, New York!!Percent",9.00%,0.00%,4.70%,3.10%,2.80%,23.20%,4.50%,0.50%,1.80%,7.60%,18.60%,20.90%,10.90%,1.60%,9.90%,85.40%,49.90%,0.00%,0.00%,76.10%,7.70%,30.80%,50.50%,8.60%,5.30%,10.20%,13.80%,58.60%,10.30%,43.60%,37.70%,14.40%,13.80%,22.30%,1.80%,13.10%,17.00%,20.40%,1.50%,23.80%,44.60%,72,3524,14000US36005007200,36005007200,LI - Not Losing Low-Income Households,NY,213050,0,0.082,0,40.8310478,-73.8606925,0
45,"Census Tract 73, Bronx County, New York!!Estimate",433,783,48,"19,925","27,657","1,415",0,5.5,3.8,-,-,-,964,"3,994","1,661","1,324",(X),"4,046",111.1691023,29,"Census Tract 73, Bronx County, New York","Census Tract 73, Bronx County, New York!!Percent",17.40%,0.00%,6.10%,1.60%,0.00%,6.90%,0.00%,0.00%,0.80%,6.80%,34.20%,30.80%,9.80%,2.80%,21.20%,78.40%,25.30%,0.00%,3.00%,98.60%,4.30%,37.40%,76.80%,4.90%,0.00%,4.70%,9.70%,0.00%,6.70%,67.00%,58.80%,23.90%,22.20%,4.70%,5.30%,8.10%,7.50%,42.00%,0.10%,0.00%,57.50%,73,3525,14000US36005007300,36005007300,LI - At Risk of Gentrification,NY,140161,0,0.054,0,40.8146752,-73.909389,1
46,"Census Tract 74, Bronx County, New York!!Estimate",218,566,50.8,"39,375","53,188","1,445",0,2.1,4.3,"362,600","2,230",753,"1,275","3,701","1,102",685,(X),"3,701",76.57442748,36.3,"Census Tract 74, Bronx County, New York","Census Tract 74, Bronx County, New York!!Percent",6.00%,0.00%,0.00%,1.60%,0.60%,4.90%,11.30%,6.30%,2.70%,16.80%,36.80%,6.30%,6.30%,6.30%,9.20%,91.80%,56.00%,0.00%,0.00%,62.10%,4.00%,18.70%,34.90%,14.00%,1.90%,5.90%,1.40%,34.70%,15.30%,53.50%,45.30%,11.80%,12.30%,20.90%,8.50%,18.30%,38.10%,31.90%,0.00%,0.20%,65.80%,74,3526,14000US36005007400,36005007400,LI - Not Losing Low-Income Households,NY,187162,0,0.072,0,40.8194734,-73.8528608,0
47,"Census Tract 75, Bronx County, New York!!Estimate",584,"1,228",41.5,"26,401","36,432","2,387",6.1,5.5,4.1,"308,000","1,393",469,793,"5,977","1,302",858,(X),"6,043",63.81133098,28.4,"Census Tract 75, Bronx County, New York","Census Tract 75, Bronx County, New York!!Percent",10.10%,0.00%,4.70%,3.00%,0.80%,11.50%,5.80%,1.20%,8.90%,6.40%,31.50%,19.00%,3.50%,3.80%,18.40%,91.30%,38.90%,0.00%,15.50%,87.60%,1.40%,41.90%,69.60%,5.70%,0.00%,6.10%,6.30%,66.30%,8.90%,52.40%,58.20%,15.30%,13.80%,14.90%,8.30%,10.30%,8.10%,47.40%,2.60%,0.00%,56.00%,75,3527,14000US36005007500,36005007500,LI - Ongoing Gentrification,NY,227618,0,0.088,0,40.8187768,-73.9086238,1
48,"Census Tract 76, Bronx County, New York!!Estimate",345,653,42,"34,778","42,820","1,700",0,0,4.2,"518,800","2,805",907,"1,226","5,013","2,488","2,064",(X),"5,013",79.67741935,32.5,"Census Tract 76, Bronx County, New York","Census Tract 76, Bronx County, New York!!Percent",11.70%,0.00%,10.50%,5.00%,0.00%,14.30%,9.80%,1.20%,4.90%,3.60%,24.10%,19.00%,5.90%,1.70%,16.40%,80.60%,39.60%,0.00%,0.00%,79.90%,3.40%,37.10%,57.30%,10.50%,1.60%,5.70%,5.00%,76.90%,9.80%,48.40%,47.00%,21.90%,13.70%,7.80%,1.70%,12.50%,24.40%,27.60%,0.20%,8.30%,64.50%,76,3528,14000US36005007600,36005007600,LI - Ongoing Displacement of Low-Income Households,NY,217217,0,0.084,0,40.833375,-73.8676557,0
49,"Census Tract 77, Bronx County, New York!!Estimate",167,349,42,"30,912","43,634",638,0,0,4.3,"353,300","1,813",-,"1,221","1,984",932,790,(X),"2,040",75.25773196,31.2,"Census Tract 77, Bronx County, New York","Census Tract 77, Bronx County, New York!!Percent",8.40%,0.00%,11.20%,1.70%,3.60%,9.10%,10.10%,0.00%,8.10%,4.70%,29.70%,15.70%,5.50%,0.60%,13.00%,89.90%,40.10%,0.00%,1.10%,75.50%,6.00%,33.90%,59.00%,3.80%,1.70%,4.10%,6.40%,88.30%,7.30%,55.30%,47.50%,16.90%,18.00%,12.90%,4.60%,7.80%,14.80%,25.60%,0.40%,0.00%,72.10%,77,3529,14000US36005007700,36005007700,LI - Not Losing Low-Income Households,NY,112827,0,0.044,0,40.8197339,-73.9044231,0
50,"Census Tract 78, Bronx County, New York!!Estimate",712,960,42.4,"40,083","48,754","2,196",6.8,2.9,4.2,"411,900","2,734",736,"1,308","6,512","3,057","2,618",(X),"6,535",86.39475185,30,"Census Tract 78, Bronx County, New York","Census Tract 78, Bronx County, New York!!Percent",10.70%,0.00%,6.20%,6.70%,4.50%,15.60%,8.00%,3.50%,5.30%,9.10%,17.00%,18.10%,4.30%,1.70%,18.00%,80.30%,38.10%,0.00%,0.00%,81.30%,4.60%,36.30%,46.50%,11.60%,1.00%,9.70%,6.40%,55.00%,12.00%,62.10%,42.40%,21.60%,12.30%,14.30%,2.00%,14.30%,28.20%,18.80%,0.00%,8.90%,71.80%,78,3530,14000US36005007800,36005007800,LI - Not Losing Low-Income Households,NY,311879,0,0.12,0,40.8291304,-73.8526457,0
51,"Census Tract 79, Bronx County, New York!!Estimate",790,"1,204",42,"25,651","34,928","2,433",36.3,2.3,4,-,-,-,703,"6,574","2,825","2,056",(X),"6,693",87.74193548,28,"Census Tract 79, Bronx County, New York","Census Tract 79, Bronx County, New York!!Percent",13.70%,0.00%,0.70%,3.00%,3.70%,12.10%,5.20%,1.40%,10.30%,9.80%,26.10%,25.80%,1.70%,0.00%,28.20%,86.60%,23.70%,1.40%,0.50%,97.80%,1.40%,25.20%,81.90%,2.10%,0.00%,8.70%,1.30%,100.00%,10.10%,68.70%,51.20%,19.50%,21.10%,6.70%,6.00%,11.20%,9.20%,28.90%,0.00%,0.00%,73.50%,79,3531,14000US36005007900,36005007900,LI - Ongoing Gentrification,NY,197930,0,0.076,0,40.815792,-73.9048714,1
52,"Census Tract 83, Bronx County, New York!!Estimate",841,"1,244",42.6,"22,704","39,897","2,198",0,2,4,"405,600","2,258",800,889,"6,887","3,118","2,597",(X),"6,887",97.22222222,30.8,"Census Tract 83, Bronx County, New York","Census Tract 83, Bronx County, New York!!Percent",12.50%,0.00%,4.80%,3.80%,3.90%,12.40%,7.60%,0.00%,13.40%,9.00%,21.40%,16.00%,5.10%,2.50%,26.00%,87.30%,27.30%,0.00%,0.00%,90.40%,3.10%,23.50%,69.60%,3.30%,0.30%,11.20%,5.80%,86.30%,7.30%,58.70%,49.90%,23.80%,21.40%,12.80%,3.50%,9.70%,9.30%,19.50%,0.10%,3.80%,81.30%,83,3532,14000US36005008300,36005008300,LI - Ongoing Gentrification,NY,213932,0,0.083,0,40.8136778,-73.90184,1
53,"Census Tract 84, Bronx County, New York!!Estimate",162,436,44.6,"66,958","78,747",757,0,6.2,5.3,"442,500","2,347",974,"1,471","2,528",881,621,(X),"2,528",92.53617669,32.9,"Census Tract 84, Bronx County, New York","Census Tract 84, Bronx County, New York!!Percent",8.40%,0.00%,2.70%,2.70%,1.40%,10.30%,8.30%,3.50%,7.80%,9.20%,35.90%,7.60%,5.00%,5.60%,7.40%,91.60%,69.90%,0.00%,0.00%,36.00%,0.70%,23.80%,23.80%,22.90%,6.70%,2.10%,1.30%,78.70%,10.60%,52.90%,36.20%,9.50%,8.30%,22.40%,4.70%,12.50%,30.80%,37.70%,0.00%,6.30%,63.40%,84,3533,14000US36005008400,36005008400,MHI - Advanced Gentrification,NY,156789,0,0.061,0,40.8156088,-73.8477354,1
54,"Census Tract 85, Bronx County, New York!!Estimate",280,"1,075",38.3,"28,403","35,818","2,017",9.8,4.2,3.9,"251,100","1,263",-,"1,003","5,647","2,917","2,280",(X),"6,406",109.004894,32.3,"Census Tract 85, Bronx County, New York","Census Tract 85, Bronx County, New York!!Percent",15.50%,0.00%,5.30%,3.90%,4.20%,15.60%,9.40%,0.00%,3.40%,4.10%,24.70%,21.60%,6.20%,1.80%,22.90%,78.40%,27.20%,0.00%,5.10%,91.80%,2.50%,29.60%,68.90%,6.10%,2.30%,4.70%,2.40%,87.20%,9.50%,62.00%,57.70%,19.30%,22.40%,12.80%,4.20%,10.90%,6.50%,22.60%,0.10%,1.00%,79.10%,85,3534,14000US36005008500,36005008500,LI - Ongoing Gentrification,NY,181658,0,0.07,0,40.8162762,-73.8990831,1
55,"Census Tract 86, Bronx County, New York!!Estimate",162,691,49.7,"21,747","37,869","1,465",0,0,4.4,"391,000","2,305",450,408,"3,849","1,407",965,(X),"3,849",75.75342466,34.8,"Census Tract 86, Bronx County, New York","Census Tract 86, Bronx County, New York!!Percent",12.60%,0.00%,8.80%,3.40%,3.10%,16.20%,10.20%,0.40%,5.40%,5.30%,22.40%,13.80%,9.60%,1.50%,24.00%,88.20%,42.10%,0.60%,0.00%,88.20%,0.60%,21.50%,69.90%,5.60%,1.00%,5.40%,0.70%,67.30%,14.70%,69.00%,58.50%,17.30%,22.70%,9.80%,4.30%,15.20%,38.60%,29.70%,0.00%,3.40%,69.60%,86,3535,14000US36005008600,36005008600,LI - Ongoing Displacement of Low-Income Households,NY,187658,0,0.072,0,40.8198788,-73.8498059,0
56,"Census Tract 87, Bronx County, New York!!Estimate",435,"1,085",47.9,"29,152","37,565","2,054",0,1.5,4.2,"335,700","2,792",-,"1,027","6,278","3,225","2,571",(X),"6,420",90.33501334,32,"Census Tract 87, Bronx County, New York","Census Tract 87, Bronx County, New York!!Percent",6.40%,0.00%,3.10%,4.40%,2.90%,12.50%,5.40%,3.10%,8.60%,9.80%,26.90%,15.10%,5.90%,2.20%,21.30%,80.80%,33.20%,0.00%,7.20%,98.20%,3.40%,36.50%,74.10%,4.70%,0.00%,9.40%,5.20%,74.30%,10.10%,63.80%,56.20%,23.20%,16.10%,7.30%,3.20%,13.00%,14.40%,24.10%,0.90%,0.00%,77.10%,87,3536,14000US36005008700,36005008700,LI - Ongoing Gentrification,NY,213574,0,0.082,0,40.819672,-73.8972847,1
57,"Census Tract 89, Bronx County, New York!!Estimate",297,685,46.3,"26,711","34,230","1,272",0,1.3,3.7,"56,600",-,719,929,"3,321","1,304",981,(X),"3,323",82.18201754,27.6,"Census Tract 89, Bronx County, New York","Census Tract 89, Bronx County, New York!!Percent",6.10%,0.00%,7.10%,0.90%,1.60%,4.50%,9.80%,3.10%,5.40%,14.50%,30.70%,18.90%,1.50%,2.10%,28.20%,83.40%,27.50%,0.00%,0.00%,94.20%,5.30%,25.30%,80.50%,2.80%,0.00%,8.80%,1.70%,28.40%,11.10%,71.80%,55.90%,22.60%,17.50%,10.10%,5.60%,14.00%,15.80%,29.10%,1.70%,0.60%,79.10%,89,3537,14000US36005008900,36005008900,LI - Ongoing Displacement of Low-Income Households,NY,110291,0,0.043,0,40.8185668,-73.8939061,0
58,"Census Tract 90, Bronx County, New York!!Estimate",144,733,47.8,"28,631","53,379","1,219",0,1.3,4.5,"409,400","1,911",721,438,"3,636","1,047",670,(X),"3,636",88.58921162,29.2,"Census Tract 90, Bronx County, New York","Census Tract 90, Bronx County, New York!!Percent",15.20%,0.00%,6.60%,2.50%,3.70%,16.90%,3.70%,0.80%,4.10%,9.10%,39.40%,6.90%,1.50%,4.90%,27.30%,91.00%,51.30%,0.00%,0.00%,74.20%,2.20%,20.60%,63.70%,11.30%,2.40%,0.60%,1.50%,72.10%,12.40%,63.90%,58.10%,13.20%,17.90%,13.40%,3.70%,15.00%,42.20%,32.40%,0.00%,3.80%,69.10%,90,3538,14000US36005009000,36005009000,LI - Ongoing Displacement of Low-Income Households,NY,1024677,1162033,0.396,0.449,40.8089385,-73.8407005,0
59,"Census Tract 92, Bronx County, New York!!Estimate",581,750,52.4,"38,708","60,563","1,892",0,1,3.9,"465,400","2,332",920,"1,276","5,975","2,747","2,089",(X),"5,975",87.01095462,34.5,"Census Tract 92, Bronx County, New York","Census Tract 92, Bronx County, New York!!Percent",17.70%,0.00%,5.50%,2.80%,0.60%,8.30%,10.10%,0.50%,8.50%,9.50%,27.00%,15.70%,6.70%,5.00%,14.80%,90.10%,46.70%,0.00%,0.00%,77.60%,3.60%,28.80%,60.60%,11.40%,1.40%,10.80%,6.10%,71.90%,8.70%,52.10%,39.90%,12.70%,10.30%,18.20%,2.00%,10.60%,17.60%,18.30%,0.10%,14.00%,61.20%,92,3539,14000US36005009200,36005009200,LI - Not Losing Low-Income Households,NY,310475,0,0.12,0,40.8323395,-73.8521545,0
